boardgame_id,name,id_bgg,link_ludopedia,slug
f51a335c-9ecf-408a-84d3-e0407ecd89c3,"LHAMA Dados",325853,https://ludopedia.com.br/jogo/lama-dice,lama-dice
3078f991-b970-41e1-845e-1db262fc88cf,Marrakech,29223,https://ludopedia.com.br/jogo/marrakech-suleika,marrakech-suleika
5e5ed663-a048-47b6-86fa-c510ec64cded,"Mille Fiori",346501,https://ludopedia.com.br/jogo/mille-fiori,mille-fiori
5632f847-894f-4563-8c60-b595005fe49e,"Não Pode",449031,https://ludopedia.com.br/jogo/nao-pode,nao-pode
f3673fb8-c62b-4655-99b2-2dbf19980666,"Next Station: London",353545,https://ludopedia.com.br/jogo/next-station-london,next-station-london
4620694c-157a-4a77-8eec-10678e18d01c,"O Que O Quê",392110,https://ludopedia.com.br/jogo/o-que-o-que,o-que-o-que
84a4d3b8-00dc-4acf-903f-3ffd7d4ceaa8,"Os Desejos do Sultão",317093,https://ludopedia.com.br/jogo/os-desejos-do-sultao,os-desejos-do-sultao
9e159659-43d5-4535-bb5c-cb4ecfd0427d,"Os Desejos do Sultão: Expansão Viajantes",392704,https://ludopedia.com.br/jogo/os-desejos-do-sultao-expansao-viajantes,os-desejos-do-sultao-expansao-viajantes
72cddb50-1250-4474-8b62-a06b7a7703ab,"Palm Island",239464,https://ludopedia.com.br/jogo/palm-island,palm-island
b84db761-ce25-4374-aaad-35241dd6b368,"Palpite Certo",123239,https://ludopedia.com.br/jogo/palpite-certo,palpite-certo
16ad279a-4a9e-4516-888d-614993a5d286,"Perfil 7",3377,https://ludopedia.com.br/jogo/20-questions,20-questions
640e4bd0-cdce-4d3f-810b-d01c0f5d9774,"Potion Explosion",180974,https://ludopedia.com.br/jogo/potion-explosion,potion-explosion
565c7dd9-e3e8-48ea-83b3-43b995840551,"Quem Foi?",241491,https://ludopedia.com.br/jogo/who-did-it,who-did-it
03876004-21dd-4ca3-98e9-0196e5ca75d9,Qui-Quitanda,392118,https://ludopedia.com.br/jogo/qui-quitanda,qui-quitanda
9d336654-a6ab-44ca-9bfb-960b4911d3d3,Quorum,429851,https://ludopedia.com.br/jogo/quorum,quorum
b8385bdf-5fd0-4f55-a9bd-3b2e9d2d6c2d,Sagrada,199561,https://ludopedia.com.br/jogo/sagrada,sagrada
53ba993f-b486-4e8a-902b-c4e979264a83,"Scotland Yard",1275,https://ludopedia.com.br/jogo/-221b-baker-street,-221b-baker-street
b2692e34-359c-4c18-86e4-dba0a46d0e66,"Sky Team",373106,https://ludopedia.com.br/jogo/sky-team,sky-team
2db88328-4016-4573-9fe9-1d4c15f74363,"Speed Cups⁶ (6)",257967,https://ludopedia.com.br/jogo/speed-cups-6,speed-cups-6
3570b9ce-1666-48d8-827e-b36dcb8ae4ac,"Splendor Duel",364073,https://ludopedia.com.br/jogo/splendor-duel,splendor-duel
1d83e627-4095-4bd5-b925-f097384cd5e9,Splito,359878,https://ludopedia.com.br/jogo/splito,splito
debbc1b7-c68f-430d-b9e2-202a218831da,"Super Lince App",23953,https://ludopedia.com.br/jogo/-finders-keepers,-finders-keepers
a7f72360-6090-4bce-bd85-4030e0049ca5,Takenokolor,373636,https://ludopedia.com.br/jogo/takenokolor,takenokolor
d8582a16-d9cd-4f9d-919c-479e37bc9408,"Tapa Certo",23953,https://ludopedia.com.br/jogo/tapa-certo,tapa-certo
d8582a16-d9cd-4f9d-919c-479e37bc9408,"Tapa Certo",23953,https://ludopedia.com.br/jogo/tapa-certo,tapa-certo
45f7b2b3-69b5-4860-a5b3-2ae64ff2cce2,Tapple,129556,https://ludopedia.com.br/jogo/tapple,tapple
45a3804d-9f15-4a70-90f5-d3fb56316a06,"Telma (2ª Edição)",623822,https://ludopedia.com.br/jogo/telma-2-edicao,telma-2-edicao
b57426d9-7174-4893-9ea9-673ca11c6b9d,"That's Not a Hat",375651,https://ludopedia.com.br/jogo/that-s-not-a-hat,that-s-not-a-hat
01065147-8504-49b1-9651-b68e5ef6b6a5,"The Game",173090,https://ludopedia.com.br/jogo/the-game,the-game
da631d06-9572-4e0e-9a66-740b2e840bd2,"The Resistance",41114,https://ludopedia.com.br/jogo/the-resistance,the-resistance
791cc47c-3f78-451b-8222-8a5159d4e7f6,"Ticket to Ride",9209,https://ludopedia.com.br/jogo/ticket-to-ride,ticket-to-ride
ff1020bc-347b-4b7d-9134-cca5e091c3b6,"Time's Up! Party",230262,https://ludopedia.com.br/jogo/time-s-up-party,time-s-up-party
6cf22d01-a762-460d-bd84-e5207fb650f0,Trio,352515,https://ludopedia.com.br/jogo/trio,trio
34bd8ca3-8ccf-4673-a8ae-94b6f7250743,"Turing Machine",356123,https://ludopedia.com.br/jogo/turing-machine,turing-machine
f2205ac4-1933-4fd4-b856-6ff948559ae1,"Tzolk'in: O Calendário Maia",126163,https://ludopedia.com.br/jogo/tzolk-in-the-mayan-calendar,tzolk-in-the-mayan-calendar
b1be2217-bdbf-4ac7-b6a4-32f9b60487f5,UeStop!,355914,https://ludopedia.com.br/jogo/uestop,uestop
53b8de8a-e01b-49ba-95f4-8dcf169c5b99,Uno,2223,https://ludopedia.com.br/jogo/uno,uno
811a5396-cc4f-4d97-b8a0-c05efc39b10b,"Uno Flip!",271460,https://ludopedia.com.br/jogo/uno-flip,uno-flip
07999d31-5340-475c-9641-94ec8badcd1a,"Verdade ou Desafio?",14707,https://ludopedia.com.br/jogo/verdade-ou-desafio,verdade-ou-desafio
122da602-a7b1-486a-9bf8-e7d5e08b1da2,Verdant,334065,https://ludopedia.com.br/jogo/verdant,verdant
6b174762-22ab-42dc-aa54-b193ba48521d,"Village Green",300583,https://ludopedia.com.br/jogo/village-green,village-green
217495ce-c036-4ab3-a98f-994e8ed3847f,"War: O Jogo da Estratégia",33112,https://ludopedia.com.br/jogo/war,war
7fefbdbb-c8a5-4361-ad79-52dd0a1b717a,Wiki,23953,https://ludopedia.com.br/jogo/wiki,wiki
